id,player_id,college_name
1118,1190,Cincinnati
1119,1191,San Jose State
1120,1192,Michigan
1121,1193,Eastern Michigan
1122,1194,Florida State
1123,1195,Valparaiso
1124,1196,Kentucky
1125,1197,UNC
1126,1198,UNC Charlotte
1127,1199,Voorhees College
1128,1200,Pepperdine
1129,1201,New Mexico Highlands University
1130,1202,Colorado
1131,1203,Arizona State
1132,1204,BYU
1133,1206,Purdue
1134,1207,St. Bonaventure
1135,1209,Maryland
1136,1210,Truman State University
1137,1211,Utah
1138,1212,NYU
1139,1213,Colorado
1140,1214,Washington State
1141,1216,Ohio State
1142,1217,Providence
1143,1218,Muhlenberg College
1144,1219,Missouri
1145,1221,Georgia
1146,1222,Memphis
1147,1223,Tennessee State
1148,1224,Oregon
1149,1225,Arizona State
1150,1226,Illinois
1151,1227,Oregon Houston
1152,1228,Kansas
1153,1229,Rutgers University
1154,1230,Illinois
1155,1231,Kansas
1156,1232,Alabama
1157,1233,Syracuse
1158,1234,Auburn Florida State
1159,1235,Memphis
1160,1237,St. John's
1161,1238,LeMoyne-Owen College
1162,1239,Virginia Tech
1163,1240,Marquette
1164,1241,Indiana
1165,1242,Rhode Island
1166,1243,Belmont Abbey College
1167,1244,Loyola Chicago
1168,1245,South Carolina
1169,1246,South Carolina
1170,1249,Wichita State Kansas
1171,1251,Valparaiso
1172,1252,Gardner-Webb University
1173,1253,Missouri
1174,1254,UNC UCLA
1175,1255,Houston
1176,1256,University of Montevallo
1177,1257,Boston College
1178,1259,UCLA
1179,1260,UConn
1180,1261,Syracuse
1181,1262,Oregon
1182,1263,Saint Mary's
1183,1264,St. John's
1184,1265,Eastern Illinois University
1185,1266,Washington
1186,1267,Yale
1187,1268,Boston College
1188,1269,Detroit Mercy
1189,1270,Tulane
1190,1271,Colgate
1191,1272,Duke
1192,1273,Wisconsin
1193,1274,Providence
1194,1275,Seton Hall
1195,1276,McNeese State University
1196,1277,Northeastern State University
1197,1278,Oklahoma State
1198,1279,Missouri-Kansas City
1199,1280,William & Mary
1200,1281,Wake Forest
1201,1282,South Carolina
1202,1283,Duke
1203,1284,Providence
1204,1285,Utah State University
1205,1286,Virginia
1206,1287,Alabama
1207,1288,LSU
1208,1289,Texas
1209,1290,Memphis
1210,1291,Georgetown
1211,1292,Duquesne
1212,1293,Colorado State
1213,1294,BYU
1214,1295,La Salle
1215,1296,Duke
1216,1297,Loyola Chicago
1217,1298,Cal State Long Beach
1218,1299,DePaul
1219,1300,UConn
1220,1301,New Orleans
1221,1302,BYU
1222,1303,Iowa
1223,1304,Loyola Chicago
1224,1305,Wichita State
1225,1307,Cincinnati LSU
1226,1308,Cypress College UCLA
1227,1309,Louisville
1228,1310,West Virginia
1229,1311,Detroit Mercy
1230,1312,Missouri
1231,1314,Louisiana
1232,1315,Trinity Valley CC Wichita State
1233,1316,Virginia Tech
1234,1317,Arkansas State University Ole Miss
1235,1318,Illinois
1236,1319,Virginia
1237,1320,Purdue
1238,1321,LeMoyne-Owen College
1239,1322,Baylor
1240,1323,Tennessee State
1241,1324,Purdue
1242,1325,UCLA
1243,1326,Georgia
1244,1327,Wright State University
1245,1328,East Carolina University
1246,1329,Purdue
1247,1330,Central Connecticut State University
1248,1331,Florida State
1249,1332,Cleveland State University
1250,1333,Washington
1251,1334,Indiana
1252,1335,West Virginia Syracuse
1253,1336,Kent State University
1254,1337,Kentucky
1255,1338,Pepperdine
1256,1339,DePaul
1257,1340,Cleveland State University Arizona State
1258,1341,Little Rock
1259,1342,Purdue
1260,1343,Providence
1261,1344,Oklahoma State
1262,1345,Purdue
1263,1346,Odessa College Washington State
1264,1347,SE Missouri State
1265,1348,Boston College
1266,1349,Maryland
1267,1350,UConn
1268,1351,Hamline University
1269,1352,American International College
1270,1353,Washington State
1271,1354,West Texas A&M University
1272,1355,Marquette
